state_name,state_code,state_name,eac_link,state_reg_link,same_day_flag,same_day_note,same_day_description,same_day_data_source,online_flag,online_note,online_description,online_data_source,mail_flag,mail_note,mail_data_source,mail_form,markdown
Alabama,AL,Alabama,https://www.eac.gov/voters/alabama-state-elections-office/,http://www.alabamavotes.gov/GetRegForm.aspx?m=voters,False,,,https://ballotpedia.org/Same-day_voter_registration,True,,Online voter registration is available. ,https://ballotpedia.org/Online_voter_registration,True,,https://www.eac.gov/voters/national-mail-voter-registration-form/,https://www.eac.gov/assets/1/6/Federal_Voter_Registration_6-25-14_ENG.pdf,**[Alabama](http://www.alabamavotes.gov/GetRegForm.aspx?m=voters)**: Online voter registration is available. Mail in registration is available.
Alaska,AK,Alaska,https://www.eac.gov/voters/alaska-state-elections-office/,http://elections.alaska.gov/Core/voterregistration.php,False,,,https://ballotpedia.org/Same-day_voter_registration,True,,Online voter registration is available. ,https://ballotpedia.org/Online_voter_registration,True,,https://www.eac.gov/voters/national-mail-voter-registration-form/,https://www.eac.gov/assets/1/6/Federal_Voter_Registration_6-25-14_ENG.pdf,**[Alaska](http://elections.alaska.gov/Core/voterregistration.php)**: Online voter registration is available. Mail in registration is available.
Arizona,AZ,Arizona,https://www.eac.gov/voters/arizona-state-elections-office/,https://servicearizona.com/webapp/evoter/selectLanguage,False,,,https://ballotpedia.org/Same-day_voter_registration,True,,Online voter registration is available. ,https://ballotpedia.org/Online_voter_registration,True,,https://www.eac.gov/voters/national-mail-voter-registration-form/,https://www.eac.gov/assets/1/6/Federal_Voter_Registration_6-25-14_ENG.pdf,**[Arizona](https://servicearizona.com/webapp/evoter/selectLanguage)**: Online voter registration is available. Mail in registration is available.
Arkansas,AR,Arkansas,https://www.eac.gov/voters/arkansas-state-elections-office/,http://www.sos.arkansas.gov/elections/pages/voterregistration.aspx,False,,,https://ballotpedia.org/Same-day_voter_registration,False,,,https://ballotpedia.org/Online_voter_registration,True,,https://www.eac.gov/voters/national-mail-voter-registration-form/,https://www.eac.gov/assets/1/6/Federal_Voter_Registration_6-25-14_ENG.pdf,**[Arkansas](http://www.sos.arkansas.gov/elections/pages/voterregistration.aspx)**: Mail in registration is available.
California,CA,California,https://www.eac.gov/voters/california-state-elections-office/,http://registertovote.ca.gov/,True,implemented after 2016 election,Same-day voter registration available (implemented after 2016 election). ,https://ballotpedia.org/Same-day_voter_registration,True,,Online voter registration is available. ,https://ballotpedia.org/Online_voter_registration,True,,https://www.eac.gov/voters/national-mail-voter-registration-form/,https://www.eac.gov/assets/1/6/Federal_Voter_Registration_6-25-14_ENG.pdf,**[California](http://registertovote.ca.gov/)**: Online voter registration is available. Same-day voter registration available (implemented after 2016 election). Mail in registration is available.
Colorado,CO,Colorado,https://www.eac.gov/voters/colorado-state-elections-office/,https://www.sos.state.co.us/voter-classic/pages/pub/olvr/verifyNewVoter.xhtml,True,implemented prior to 2016 election,Same-day voter registration available (Implemented prior to 2016 election). ,https://ballotpedia.org/Same-day_voter_registration,True,,Online voter registration is available. ,https://ballotpedia.org/Online_voter_registration,True,,https://www.eac.gov/voters/national-mail-voter-registration-form/,https://www.eac.gov/assets/1/6/Federal_Voter_Registration_6-25-14_ENG.pdf,**[Colorado](https://www.sos.state.co.us/voter-classic/pages/pub/olvr/verifyNewVoter.xhtml)**: Online voter registration is available. Same-day voter registration available (Implemented prior to 2016 election). Mail in registration is available.
Connecticut,CT,Connecticut,https://www.eac.gov/voters/connecticut-state-elections-office/,https://voterregistration.ct.gov/OLVR/welcome.do,True,implemented prior to 2016 election,Same-day voter registration available (Implemented prior to 2016 election). ,https://ballotpedia.org/Same-day_voter_registration,True,,Online voter registration is available. ,https://ballotpedia.org/Online_voter_registration,True,,https://www.eac.gov/voters/national-mail-voter-registration-form/,https://www.eac.gov/assets/1/6/Federal_Voter_Registration_6-25-14_ENG.pdf,**[Connecticut](https://voterregistration.ct.gov/OLVR/welcome.do)**: Online voter registration is available. Same-day voter registration available (Implemented prior to 2016 election). Mail in registration is available.
Delaware,DE,Delaware,https://www.eac.gov/voters/delaware-state-elections-office/,https://ivote.de.gov/,False,,,https://ballotpedia.org/Same-day_voter_registration,True,,Online voter registration is available. ,https://ballotpedia.org/Online_voter_registration,True,,https://www.eac.gov/voters/national-mail-voter-registration-form/,https://www.eac.gov/assets/1/6/Federal_Voter_Registration_6-25-14_ENG.pdf,**[Delaware](https://ivote.de.gov/)**: Online voter registration is available. Mail in registration is available.
Florida,FL,Florida,https://www.eac.gov/voters/florida-state-elections-office/,http://dos.myflorida.com/elections/for-voters/voter-registration/,False,,,https://ballotpedia.org/Same-day_voter_registration,True,"Enacted in May 2015, but not implemented as of January 2017","Online voter registration is available (Enacted in May 2015, but not implemented as of January 2017). ",https://ballotpedia.org/Online_voter_registration,True,,https://www.eac.gov/voters/national-mail-voter-registration-form/,https://www.eac.gov/assets/1/6/Federal_Voter_Registration_6-25-14_ENG.pdf,"**[Florida](http://dos.myflorida.com/elections/for-voters/voter-registration/)**: Online voter registration is available (Enacted in May 2015, but not implemented as of January 2017). Mail in registration is available."
Georgia,GA,Georgia,https://www.eac.gov/voters/georgia-state-elections-office/,https://registertovote.sos.ga.gov/GAOLVR/welcome.do#no-back-button,False,,,https://ballotpedia.org/Same-day_voter_registration,True,,Online voter registration is available. ,https://ballotpedia.org/Online_voter_registration,True,,https://www.eac.gov/voters/national-mail-voter-registration-form/,https://www.eac.gov/assets/1/6/Federal_Voter_Registration_6-25-14_ENG.pdf,**[Georgia](https://registertovote.sos.ga.gov/GAOLVR/welcome.do#no-back-button)**: Online voter registration is available. Mail in registration is available.
Hawaii,HI,Hawaii,https://www.eac.gov/voters/hawaii-state-elections-office/,http://elections.hawaii.gov/voter-registration/,True,implemented after 2016 election,Same-day voter registration available (implemented after 2016 election). ,https://ballotpedia.org/Same-day_voter_registration,True,,Online voter registration is available. ,https://ballotpedia.org/Online_voter_registration,True,,https://www.eac.gov/voters/national-mail-voter-registration-form/,https://www.eac.gov/assets/1/6/Federal_Voter_Registration_6-25-14_ENG.pdf,**[Hawaii](http://elections.hawaii.gov/voter-registration/)**: Online voter registration is available. Same-day voter registration available (implemented after 2016 election). Mail in registration is available.
Idaho,ID,Idaho,https://www.eac.gov/voters/idaho-state-elections-office/,http://www.idahovotes.gov/voter_info.shtml,True,implemented prior to 2016 election,Same-day voter registration available (Implemented prior to 2016 election). ,https://ballotpedia.org/Same-day_voter_registration,True,"Enacted in 2016, but not implemented as of January 2017","Online voter registration is available (Enacted in 2016, but not implemented as of January 2017). ",https://ballotpedia.org/Online_voter_registration,True,,https://www.eac.gov/voters/national-mail-voter-registration-form/,https://www.eac.gov/assets/1/6/Federal_Voter_Registration_6-25-14_ENG.pdf,"**[Idaho](http://www.idahovotes.gov/voter_info.shtml)**: Online voter registration is available (Enacted in 2016, but not implemented as of January 2017). Same-day voter registration available (Implemented prior to 2016 election). Mail in registration is available."
Illinois,IL,Illinois,https://www.eac.gov/voters/illinois-state-elections-office/,https://ova.elections.il.gov/,True,implemented prior to 2016 election,Same-day voter registration available (Implemented prior to 2016 election). ,https://ballotpedia.org/Same-day_voter_registration,True,,Online voter registration is available. ,https://ballotpedia.org/Online_voter_registration,True,,https://www.eac.gov/voters/national-mail-voter-registration-form/,https://www.eac.gov/assets/1/6/Federal_Voter_Registration_6-25-14_ENG.pdf,**[Illinois](https://ova.elections.il.gov/)**: Online voter registration is available. Same-day voter registration available (Implemented prior to 2016 election). Mail in registration is available.
Indiana,IN,Indiana,https://www.eac.gov/voters/indiana-state-elections-office/,https://indianavoters.in.gov/PublicSite/OVR/Introduction.aspx?AspxAutoDetectCookieSupport=1,False,,,https://ballotpedia.org/Same-day_voter_registration,True,,Online voter registration is available. ,https://ballotpedia.org/Online_voter_registration,True,,https://www.eac.gov/voters/national-mail-voter-registration-form/,https://www.eac.gov/assets/1/6/Federal_Voter_Registration_6-25-14_ENG.pdf,**[Indiana](https://indianavoters.in.gov/PublicSite/OVR/Introduction.aspx?AspxAutoDetectCookieSupport=1)**: Online voter registration is available. Mail in registration is available.
Iowa,IA,Iowa,https://www.eac.gov/voters/iowa-state-elections-office/,https://sos.iowa.gov/elections/voterinformation/voterregistration.html,True,implemented prior to 2016 election,Same-day voter registration available (Implemented prior to 2016 election). ,https://ballotpedia.org/Same-day_voter_registration,True,,Online voter registration is available. ,https://ballotpedia.org/Online_voter_registration,True,,https://www.eac.gov/voters/national-mail-voter-registration-form/,https://www.eac.gov/assets/1/6/Federal_Voter_Registration_6-25-14_ENG.pdf,**[Iowa](https://sos.iowa.gov/elections/voterinformation/voterregistration.html)**: Online voter registration is available. Same-day voter registration available (Implemented prior to 2016 election). Mail in registration is available.
Kansas,KS,Kansas,https://www.eac.gov/voters/kansas-state-elections-office/,https://www.kdor.org/voterregistration/Default.aspx,False,,,https://ballotpedia.org/Same-day_voter_registration,True,,Online voter registration is available. ,https://ballotpedia.org/Online_voter_registration,True,,https://www.eac.gov/voters/national-mail-voter-registration-form/,https://www.eac.gov/assets/1/6/Federal_Voter_Registration_6-25-14_ENG.pdf,**[Kansas](https://www.kdor.org/voterregistration/Default.aspx)**: Online voter registration is available. Mail in registration is available.
Kentucky,KY,Kentucky,https://www.eac.gov/voters/kentucky-state-elections-office/,http://elect.ky.gov/registertovote/Pages/default.aspx,False,,,https://ballotpedia.org/Same-day_voter_registration,True,,Online voter registration is available. ,https://ballotpedia.org/Online_voter_registration,True,,https://www.eac.gov/voters/national-mail-voter-registration-form/,https://www.eac.gov/assets/1/6/Federal_Voter_Registration_6-25-14_ENG.pdf,**[Kentucky](http://elect.ky.gov/registertovote/Pages/default.aspx)**: Online voter registration is available. Mail in registration is available.
Louisiana,LA,Louisiana,https://www.eac.gov/voters/louisiana-state-elections-office/,http://www.sos.la.gov/ElectionsAndVoting/Pages/OnlineVoterRegistration.aspx,False,,,https://ballotpedia.org/Same-day_voter_registration,True,,Online voter registration is available. ,https://ballotpedia.org/Online_voter_registration,True,,https://www.eac.gov/voters/national-mail-voter-registration-form/,https://www.eac.gov/assets/1/6/Federal_Voter_Registration_6-25-14_ENG.pdf,**[Louisiana](http://www.sos.la.gov/ElectionsAndVoting/Pages/OnlineVoterRegistration.aspx)**: Online voter registration is available. Mail in registration is available.
Maine,ME,Maine,https://www.eac.gov/voters/maine-state-elections-office/,http://www.maine.gov/sos/cec/elec/data/index.html,True,implemented prior to 2016 election,Same-day voter registration available (Implemented prior to 2016 election). ,https://ballotpedia.org/Same-day_voter_registration,False,,,https://ballotpedia.org/Online_voter_registration,True,,https://www.eac.gov/voters/national-mail-voter-registration-form/,https://www.eac.gov/assets/1/6/Federal_Voter_Registration_6-25-14_ENG.pdf,**[Maine](http://www.maine.gov/sos/cec/elec/data/index.html)**: Same-day voter registration available (Implemented prior to 2016 election). Mail in registration is available.
Maryland,MD,Maryland,https://www.eac.gov/voters/maryland-state-elections-office/,https://voterservices.elections.state.md.us/OnlineVoterRegistration/VoterType,True,implemented prior to 2016 election,Same-day voter registration available (Implemented prior to 2016 election). ,https://ballotpedia.org/Same-day_voter_registration,True,,Online voter registration is available. ,https://ballotpedia.org/Online_voter_registration,True,,https://www.eac.gov/voters/national-mail-voter-registration-form/,https://www.eac.gov/assets/1/6/Federal_Voter_Registration_6-25-14_ENG.pdf,**[Maryland](https://voterservices.elections.state.md.us/OnlineVoterRegistration/VoterType)**: Online voter registration is available. Same-day voter registration available (Implemented prior to 2016 election). Mail in registration is available.
Massachusetts,MA,Massachusetts,https://www.eac.gov/voters/massachusetts-state-elections-office/,https://www.sec.state.ma.us/ele/eleifv/howreg.htm,False,,,https://ballotpedia.org/Same-day_voter_registration,True,,Online voter registration is available. ,https://ballotpedia.org/Online_voter_registration,True,,https://www.eac.gov/voters/national-mail-voter-registration-form/,https://www.eac.gov/assets/1/6/Federal_Voter_Registration_6-25-14_ENG.pdf,**[Massachusetts](https://www.sec.state.ma.us/ele/eleifv/howreg.htm)**: Online voter registration is available. Mail in registration is available.
Michigan,MI,Michigan,https://www.eac.gov/voters/michigan-state-elections-office/,"http://www.michigan.gov/sos/0,1607,7-127-1633_8716_8726_47669---,00.html",False,,,https://ballotpedia.org/Same-day_voter_registration,False,,,https://ballotpedia.org/Online_voter_registration,True,,https://www.eac.gov/voters/national-mail-voter-registration-form/,https://www.eac.gov/assets/1/6/Federal_Voter_Registration_6-25-14_ENG.pdf,"**[Michigan](http://www.michigan.gov/sos/0,1607,7-127-1633_8716_8726_47669---,00.html)**: Mail in registration is available."
Minnesota,MN,Minnesota,https://www.eac.gov/voters/minnesota-state-elections-office/,http://mnvotesinfo.sos.state.mn.us/voters/voter-registration/,True,implemented prior to 2016 election,Same-day voter registration available (Implemented prior to 2016 election). ,https://ballotpedia.org/Same-day_voter_registration,True,,Online voter registration is available. ,https://ballotpedia.org/Online_voter_registration,True,,https://www.eac.gov/voters/national-mail-voter-registration-form/,https://www.eac.gov/assets/1/6/Federal_Voter_Registration_6-25-14_ENG.pdf,**[Minnesota](http://mnvotesinfo.sos.state.mn.us/voters/voter-registration/)**: Online voter registration is available. Same-day voter registration available (Implemented prior to 2016 election). Mail in registration is available.
Mississippi,MS,Mississippi,https://www.eac.gov/voters/mississippi-state-elections-office/,http://www.sos.ms.gov/elections-voting/pages/voter-registration-information.aspx,False,,,https://ballotpedia.org/Same-day_voter_registration,False,,,https://ballotpedia.org/Online_voter_registration,True,,https://www.eac.gov/voters/national-mail-voter-registration-form/,https://www.eac.gov/assets/1/6/Federal_Voter_Registration_6-25-14_ENG.pdf,**[Mississippi](http://www.sos.ms.gov/elections-voting/pages/voter-registration-information.aspx)**: Mail in registration is available.
