"Report Date/Time: 02/04/2015 11:18 AM","","","","","STATE OF ARIZONA REGISTRATION REPORT","","","","","","Page Number 1"
"","","","","","2015 January Voter Registration - January 1, 2015","","","","","",""
"","","","","","Compiled and Issued by the Arizona Secretary of State","","","","","",""
"","","","","","ACTIVE","","","","","",""
"","","Precincts","Date/Period","Americans ","","Green","Democratic","Libertarian","Republican","Other","TOTAL"
"","Apache","45","JAN 2014","1","","*","26,941","153","7,704","12,457","47,256"
"","","45","G.E. 2014","4","","*","26,351","148","7,267","12,411","46,181"
"","","45","JAN 2015","5","","33","26,744","143","7,350","12,418","46,693"
"","Cochise","49","JAN 2014","7","","*","20,881","425","27,876","26,119","75,308"
"","","49","G.E. 2014","11","","*","18,784","431","25,463","23,923","68,612"
"","","49","JAN 2015","14","","112","18,844","441","25,743","24,344","69,498"
"","Coconino","71","JAN 2014","4","","*","25,565","782","17,635","23,166","67,152"
"","","71","G.E. 2014","5","","*","26,055","776","17,863","26,020","70,719"
"","","71","JAN 2015","5","","235","26,267","790","17,893","25,824","71,014"
"","Gila","39","JAN 2014","2","","*","10,266","147","11,262","8,046","29,723"
"","","39","G.E. 2014","2","","*","9,717","160","11,110","8,483","29,472"
"","","39","JAN 2015","2","","23","9,779","165","11,311","8,677","29,957"
"","Graham","22","JAN 2014","1","","*","6,054","60","7,806","4,215","18,136"
"","","22","G.E. 2014","2","","*","5,727","58","7,454","4,300","17,541"
"","","22","JAN 2015","2","","8","5,699","59","7,422","4,324","17,514"
"","Greenlee","8","JAN 2014","0","","*","2,246","20","1,112","1,112","4,490"
"","","8","G.E. 2014","0","","*","2,115","22","1,094","1,151","4,382"
"","","8","JAN 2015","0","","3","2,102","23","1,100","1,151","4,379"
"","La Paz","11","JAN 2014","1","","*","2,337","33","3,318","3,380","9,069"
"","","11","G.E. 2014","1","","*","2,228","39","3,289","3,504","9,061"
"","","11","JAN 2015","1","","14","2,203","41","3,279","3,512","9,050"
"","Maricopa","724","JAN 2014","208","","*","533,254","17,173","709,130","690,233","1,949,998"
"","","724","G.E. 2014","298","","*","515,376","17,205","694,850","708,000","1,935,729"
"","","724","JAN 2015","311","","2,366","510,481","17,171","690,900","712,319","1,933,548"
"","Mohave","73","JAN 2014","9","","*","23,188","606","45,781","43,598","113,182"
"","","73","G.E. 2014","14","","*","23,072","664","46,633","47,214","117,597"
"","","73","JAN 2015","16","","108","22,707","669","46,422","47,857","117,779"
"","Navajo","61","JAN 2014","4","","*","23,887","361","18,376","15,987","58,615"
"","","61","G.E. 2014","8","","*","22,979","366","17,523","15,849","56,725"
"","","61","JAN 2015","8","","44","23,008","369","17,506","15,955","56,890"
"","Pima","288","JAN 2014","49","","*","178,748","3,878","146,686","154,626","483,987"
"","","248","G.E. 2014","57","","*","179,046","4,026","151,097","164,431","498,657"
"","","248","JAN 2015","65","","1,656","181,113","4,103","153,220","166,075","506,232"
"","Pinal","102","JAN 2014","16","","*","44,926","1,110","53,193","61,037","160,282"
"","","102","G.E. 2014","15","","*","43,310","1,114","51,801","62,100","158,340"
"","","102","JAN 2015","14","","150","43,186","1,129","52,021","63,137","159,637"
"","Santa Cruz","24","JAN 2014","0","","*","11,825","133","3,865","7,661","23,484"
"","","24","G.E. 2014","0","","*","11,385","124","3,661","7,499","22,669"
"","","24","JAN 2015","0","","29","11,432","123","3,686","7,612","22,882"
"","Yavapai","107","JAN 2014","9","","*","25,451","930","53,738","41,963","122,091"
"","","45","G.E. 2014","10","","*","24,676","944","53,512","44,159","123,301"
"","","45","JAN 2015","10","","238","24,678","960","53,901","44,452","124,239"
"","Yuma","42","JAN 2014","6","","*","27,259","576","23,781","30,398","82,020"
"","","44","G.E. 2014","6","","*","25,596","512","22,096","28,767","76,977"
"","","44","JAN 2015","8","","32","25,640","520","22,237","29,426","77,863"
"","TOTALS:","1,666","JAN 2014","317","","*","962,828","26,387","1,131,263","1,123,998","3,244,793"
"","","1,566","G.E. 2014","433","","*","936,417","26,589","1,114,713","1,157,811","3,235,963"
"","","1,566","JAN 2015","461","","5,051","933,883","26,706","1,113,991","1,167,083","3,247,175"
"","PERCENTAGES:","","JAN 2014","0.01","","*","29.67","0.81","34.86","34.64",""
"","","","G.E. 2014","0.01","","*","28.94","0.82","34.45","35.78",""
"","","","JAN 2015","0.01","","0.16","28.76","0.82","34.31","35.94",""
"","* - Party was not a recognized party during this cycle","","","","","","","","","",""
"Report Date/Time: 02/04/2015 11:18 AM","","","","","","STATE OF ARIZONA REGISTRATION REPORT","","","","","","Page Number 2"
"","","","","","","2015 January Voter Registration - January 1, 2015","","","","","",""
"","","","","","","Compiled and Issued by the Arizona Secretary of State","","","","","",""
"","","","","","","ACTIVE","","","","","",""
"","Congressional","","","Precincts","Americans ","","Democratic","Green","Libertarian","Republican","Other","TOTAL"
"","","Congressional District 1","","","","","","","","","",""
"","","","Apache","45","5","","26,744","33","143","7,350","12,418","46,693"
"","","","Coconino","71","5","","26,267","235","790","17,893","25,824","71,014"
"","","","Gila","22","1","","6,584","7","51","2,673","3,770","13,086"
"","","","Graham","22","2","","5,699","8","59","7,422","4,324","17,514"
"","","","Greenlee","8","0","","2,102","3","23","1,100","1,151","4,379"
"","","","Maricopa","3","0","","435","1","9","59","406","910"
"","","","Mohave","2","0","","290","0","1","121","314","726"
"","","","Navajo","61","8","","23,008","44","369","17,506","15,955","56,890"
"","","","Pima","26","3","","15,187","79","379","25,160","19,157","59,965"
"","","","Pinal","60","3","","27,470","81","558","25,748","32,454","86,314"
"","","","Yavapai","7","1","","4,411","47","156","6,096","7,169","17,880"
"","","","TOTALS","327","28","","138,197","538","2,538","111,128","122,942","375,371"
"","","Congressional District 2","","","","","","","","","",""
"","","","Cochise","49","14","","18,844","112","441","25,743","24,344","69,498"
"","","","Pima","145","43","","107,258","1,038","2,648","104,251","103,093","318,331"
"","","","TOTALS","194","57","","126,102","1,150","3,089","129,994","127,437","387,829"
"","","Congressional District 3","","","","","","","","","",""
"","","","Maricopa","46","11","","29,967","74","794","23,335","37,987","92,168"
"","","","Pima","77","19","","58,668","539","1,076","23,809","43,825","127,936"
"","","","Pinal","1","0","","131","0","0","12","55","198"
"","","","Santa Cruz","24","0","","11,432","29","123","3,686","7,612","22,882"
"","","","Yuma","29","3","","19,084","21","314","10,226","18,521","48,169"
"","","","TOTALS","177","33","","119,282","663","2,307","61,068","108,000","291,353"
"","","Congressional District 4","","","","","","","","","",""
"","","","Gila","17","1","","3,195","16","114","8,638","4,907","16,871"
"","","","La Paz","11","1","","2,203","14","41","3,279","3,512","9,050"
"","","","Maricopa","18","6","","4,124","18","167","9,772","7,816","21,903"
"","","","Mohave","71","16","","22,417","108","668","46,301","47,543","117,053"
"","","","Pinal","41","11","","15,585","69","571","26,261","30,628","73,125"
"","","","Yavapai","38","9","","20,267","191","804","47,805","37,283","106,359"
"","","","Yuma","15","5","","6,556","11","206","12,011","10,905","29,694"
"","","","TOTALS","211","49","","74,347","427","2,571","154,067","142,594","374,055"
"","","Congressional District 5","","","","","","","","","",""
"","","","Maricopa","113","71","","81,193","378","3,230","176,048","144,117","405,037"
"","","","TOTALS","113","71","","81,193","378","3,230","176,048","144,117","405,037"
"","","Congressional District 6","","","","","","","","","",""
"","","","Maricopa","156","65","","93,710","479","3,516","167,007","148,503","413,280"
"","","","TOTALS","156","65","","93,710","479","3,516","167,007","148,503","413,280"
"","","Congressional District 7","","","","","","","","","",""
"","","","Maricopa","105","33","","101,439","331","2,572","38,406","96,661","239,442"
"","","","TOTALS","105","33","","101,439","331","2,572","38,406","96,661","239,442"
"","","Congressional District 8","","","","","","","","","",""
"","","","Maricopa","142","60","","92,845","331","2,865","159,430","141,212","396,743"
"","","","TOTALS","142","60","","92,845","331","2,865","159,430","141,212","396,743"
"","","Congressional District 9","","","","","","","","","",""
"","","","Maricopa","141","65","","106,768","754","4,018","116,843","135,617","364,065"
"","","","TOTALS","141","65","","106,768","754","4,018","116,843","135,617","364,065"
"","","","STATE TOTALS","1,566","461","","933,883","5,051","26,706","1,113,991","1,167,083","3,247,175"
"Report Date/Time: 02/04/2015 11:18 AM","","","","","","STATE OF ARIZONA REGISTRATION REPORT","","","","","","Page Number 3"
"","","","","","","2015 January Voter Registration - January 1, 2015","","","","","",""
"","","","","","","Compiled and Issued by the Arizona Secretary of State","","","","","",""
"","","","","","","ACTIVE","","","","","",""
"","Legislative","","","Precincts","Americans ","","Democratic","Green","Libertarian","Republican","Other","TOTAL"
"","","Legislative District 1","","","","","","","","","",""
"","","","Maricopa","14","6","","6,712","40","319","18,562","14,292","39,931"
"","","","Yavapai","35","7","","16,196","161","708","41,535","30,548","89,155"
"","","","TOTALS","49","13","","22,908","201","1,027","60,097","44,840","129,086"
"","","Legislative District 2","","","","","","","","","",""
"","","","Pima","33","14","","24,438","107","459","18,058","24,128","67,204"
"","","","Santa Cruz","24","0","","11,432","29","123","3,686","7,612","22,882"
"","","","TOTALS","57","14","","35,870","136","582","21,744","31,740","90,086"
"","","Legislative District 3","","","","","","","","","",""
"","","","Pima","41","13","","40,431","536","775","15,317","29,008","86,080"
"","","","TOTALS","41","13","","40,431","536","775","15,317","29,008","86,080"
"","","Legislative District 4","","","","","","","","","",""
"","","","Maricopa","18","5","","6,862","33","203","8,288","9,955","25,346"
"","","","Pima","17","2","","6,799","31","83","2,222","4,692","13,829"
"","","","Pinal","1","0","","131","0","0","12","55","198"
"","","","Yuma","23","3","","17,039","15","257","7,850","15,833","40,997"
"","","","TOTALS","59","10","","30,831","79","543","18,372","30,535","80,370"
"","","Legislative District 5","","","","","","","","","",""
"","","","La Paz","11","1","","2,203","14","41","3,279","3,512","9,050"
"","","","Mohave","71","16","","22,417","108","668","46,301","47,543","117,053"
"","","","TOTALS","82","17","","24,620","122","709","49,580","51,055","126,103"
"","","Legislative District 6","","","","","","","","","",""
"","","","Coconino","45","5","","15,523","215","588","13,802","19,130","49,263"
"","","","Gila","18","1","","3,241","16","114","8,733","4,962","17,067"
"","","","Navajo","16","2","","2,896","8","84","7,625","3,561","14,176"
"","","","Yavapai","10","3","","8,482","77","252","12,366","13,904","35,084"
"","","","TOTALS","89","11","","30,142","316","1,038","42,526","41,557","115,590"
"","","Legislative District 7","","","","","","","","","",""
"","","","Apache","45","5","","26,744","33","143","7,350","12,418","46,693"
"","","","Coconino","26","0","","10,744","20","202","4,091","6,694","21,751"
"","","","Gila","3","0","","2,153","0","9","207","1,113","3,482"
"","","","Graham","2","0","","1,458","0","3","200","674","2,335"
"","","","Mohave","2","0","","290","0","1","121","314","726"
"","","","Navajo","45","6","","20,112","36","285","9,881","12,394","42,714"
"","","","Pinal","1","0","","0","0","0","0","0","0"
"","","","TOTALS","124","11","","61,501","89","643","21,850","33,607","117,701"
"","","Legislative District 8","","","","","","","","","",""
"","","","Gila","18","1","","4,385","7","42","2,371","2,602","9,408"
"","","","Pinal","51","3","","23,028","72","454","21,029","27,365","71,951"
"","","","TOTALS","69","4","","27,413","79","496","23,400","29,967","81,359"
"","","Legislative District 9","","","","","","","","","",""
"","","","Pima","57","11","","42,245","455","1,062","37,379","37,745","118,897"
"","","","TOTALS","57","11","","42,245","455","1,062","37,379","37,745","118,897"
"","","Legislative District 10","","","","","","","","","",""
"","","","Pima","49","15","","41,838","384","971","38,156","37,504","118,868"
"","","","TOTALS","49","15","","41,838","384","971","38,156","37,504","118,868"
"","","Legislative District 11","","","","","","","","","",""
"","","","Pima","34","5","","19,108","107","508","30,479","23,684","73,891"
"","","","Pinal","27","3","","11,352","41","378","15,416","18,263","45,453"
"","","","TOTALS","61","8","","30,460","148","886","45,895","41,947","119,344"
"","","Legislative District 12","","","","","","","","","",""
"","","","Maricopa","34","14","","23,739","118","1,086","59,470","44,724","129,151"
"","","","Pinal","1","0","","229","0","10","551","476","1,266"
"","","","TOTALS","35","14","","23,968","118","1,096","60,021","45,200","130,417"
"Report Date/Time: 02/04/2015 11:18 AM","","","","","","STATE OF ARIZONA REGISTRATION REPORT","","","","","","Page Number 4"
"","","","","","","2015 January Voter Registration - January 1, 2015","","","","","",""
"","","","","","","Compiled and Issued by the Arizona Secretary of State","","","","","",""
"","","","","","","ACTIVE","","","","","",""
"","Legislative","","","Precincts","Americans ","","Democratic","Green","Libertarian","Republican","Other","TOTAL"
"","","Legislative District 13","","","","","","","","","",""
"","","","Maricopa","29","10","","14,654","56","520","26,540","24,467","66,247"
"","","","Yavapai","0","0","","0","0","0","0","0","0"
"","","","Yuma","21","5","","8,601","17","263","14,387","13,593","36,866"
"","","","TOTALS","50","15","","23,255","73","783","40,927","38,060","103,113"
"","","Legislative District 14","","","","","","","","","",""
"","","","Cochise","49","14","","18,844","112","441","25,743","24,344","69,498"
"","","","Graham","20","2","","4,241","8","56","7,222","3,650","15,179"
"","","","Greenlee","8","0","","2,102","3","23","1,100","1,151","4,379"
"","","","Pima","17","5","","6,254","36","245","11,609","9,314","27,463"
"","","","TOTALS","94","21","","31,441","159","765","45,674","38,459","116,519"
"","","Legislative District 15","","","","","","","","","",""
"","","","Maricopa","42","22","","27,124","124","1,105","53,500","45,113","126,988"
"","","","TOTALS","42","22","","27,124","124","1,105","53,500","45,113","126,988"
"","","Legislative District 16","","","","","","","","","",""
"","","","Maricopa","19","18","","14,656","71","536","28,000","27,876","71,157"
"","","","Pinal","21","8","","8,446","37","287","15,013","16,978","40,769"
"","","","TOTALS","40","26","","23,102","108","823","43,013","44,854","111,926"
"","","Legislative District 17","","","","","","","","","",""
"","","","Maricopa","39","28","","29,434","118","1,013","46,684","46,801","124,078"
"","","","TOTALS","39","28","","29,434","118","1,013","46,684","46,801","124,078"
"","","Legislative District 18","","","","","","","","","",""
"","","","Maricopa","42","16","","37,054","218","1,291","47,705","47,704","133,988"
"","","","TOTALS","42","16","","37,054","218","1,291","47,705","47,704","133,988"
"","","Legislative District 19","","","","","","","","","",""
"","","","Maricopa","28","6","","28,876","56","711","13,066","31,784","74,499"
"","","","TOTALS","28","6","","28,876","56","711","13,066","31,784","74,499"
"","","Legislative District 20","","","","","","","","","",""
"","","","Maricopa","47","23","","29,831","180","1,118","40,655","40,749","112,556"
"","","","TOTALS","47","23","","29,831","180","1,118","40,655","40,749","112,556"
"","","Legislative District 21","","","","","","","","","",""
"","","","Maricopa","42","21","","30,269","85","788","41,522","41,658","114,343"
"","","","TOTALS","42","21","","30,269","85","788","41,522","41,658","114,343"
"","","Legislative District 22","","","","","","","","","",""
"","","","Maricopa","48","12","","27,703","82","765","58,492","46,227","133,281"
"","","","TOTALS","48","12","","27,703","82","765","58,492","46,227","133,281"
"","","Legislative District 23","","","","","","","","","",""
"","","","Maricopa","57","15","","29,285","123","994","65,246","52,201","147,864"
"","","","TOTALS","57","15","","29,285","123","994","65,246","52,201","147,864"
"","","Legislative District 24","","","","","","","","","",""
"","","","Maricopa","40","22","","33,630","248","1,069","20,690","34,105","89,764"
"","","","TOTALS","40","22","","33,630","248","1,069","20,690","34,105","89,764"
"","","Legislative District 25","","","","","","","","","",""
"","","","Maricopa","37","21","","24,315","151","1,040","54,745","41,083","121,355"
"","","","TOTALS","37","21","","24,315","151","1,040","54,745","41,083","121,355"
"","","Legislative District 26","","","","","","","","","",""
"","","","Maricopa","34","20","","26,062","255","1,176","20,643","36,600","84,756"
"","","","TOTALS","34","20","","26,062","255","1,176","20,643","36,600","84,756"
"","","Legislative District 27","","","","","","","","","",""
"","","","Maricopa","35","14","","35,994","95","654","10,619","31,781","79,157"
"","","","TOTALS","35","14","","35,994","95","654","10,619","31,781","79,157"
"","","Legislative District 28","","","","","","","","","",""
"","","","Maricopa","57","19","","33,572","188","1,186","47,969","40,213","123,147"
"","","","TOTALS","57","19","","33,572","188","1,186","47,969","40,213","123,147"
"Report Date/Time: 02/04/2015 11:18 AM","","","","","","STATE OF ARIZONA REGISTRATION REPORT","","","","","","Page Number 5"
"","","","","","","2015 January Voter Registration - January 1, 2015","","","","","",""
"","","","","","","Compiled and Issued by the Arizona Secretary of State","","","","","",""
"","","","","","","ACTIVE","","","","","",""
"","Legislative","","","Precincts","Americans ","","Democratic","Green","Libertarian","Republican","Other","TOTAL"
