City / Town ,D ,R ,M ,U ,- ,Total
BARRINGTON,"","","","","",""
Active : ,4771 ,2352 ,32 ,6203 ,0 ,13358
Inactive : ,237 ,145 ,4 ,452 ,0 ,838
Active with NCOA ,139 ,92 ,1 ,190 ,0 ,422
Change :,"","","","","",""
City / Town Total : ,5147 ,2589 ,37 ,6845 ,0 ,14618
BRISTOL,"","","","","",""
Active : ,5474 ,1851 ,61 ,7392 ,0 ,14778
Inactive : ,333 ,128 ,4 ,579 ,0 ,1044
Active with NCOA ,126 ,36 ,3 ,148 ,0 ,313
Change :,"","","","","",""
City / Town Total : ,5933 ,2015 ,68 ,8119 ,0 ,16135
BURRILLVILLE,"","","","","",""
Active : ,3129 ,1699 ,29 ,5494 ,0 ,10351
Inactive : ,164 ,94 ,0 ,402 ,0 ,660
Active with NCOA ,115 ,43 ,0 ,199 ,0 ,357
Change :,"","","","","",""
City / Town Total : ,3408 ,1836 ,29 ,6095 ,0 ,11368
CENTRAL FALLS,"","","","","",""
Active : ,4586 ,336 ,23 ,2971 ,0 ,7916
Inactive : ,759 ,73 ,4 ,851 ,0 ,1687
Active with NCOA ,136 ,6 ,0 ,53 ,0 ,195
Change :,"","","","","",""
City / Town Total : ,5481 ,415 ,27 ,3875 ,0 ,9798
CHARLESTOWN,"","","","","",""
Active : ,1862 ,1107 ,19 ,2988 ,0 ,5976
Inactive : ,101 ,74 ,4 ,277 ,0 ,456
Active with NCOA ,23 ,12 ,0 ,32 ,0 ,67
Change :,"","","","","",""
City / Town Total : ,1986 ,1193 ,23 ,3297 ,0 ,6499
City / Town ,D ,R ,M ,U ,- ,Total
COVENTRY,"","","","","",""
Active : ,6742 ,3589 ,61 ,14085 ,0 ,24477
Inactive : ,217 ,103 ,4 ,560 ,0 ,884
Active with NCOA ,124 ,58 ,2 ,276 ,0 ,460
Change :,"","","","","",""
City / Town Total : ,7083 ,3750 ,67 ,14921 ,0 ,25821
CRANSTON,"","","","","",""
Active : ,18075 ,6646 ,166 ,26750 ,0 ,51637
Inactive : ,1489 ,395 ,17 ,2325 ,0 ,4226
Active with NCOA ,530 ,162 ,5 ,672 ,0 ,1369
Change :,"","","","","",""
City / Town Total : ,20094 ,7203 ,188 ,29747 ,0 ,57232
CUMBERLAND,"","","","","",""
Active : ,9794 ,2859 ,83 ,11276 ,0 ,24012
Inactive : ,747 ,246 ,11 ,979 ,0 ,1983
Active with NCOA ,196 ,43 ,2 ,170 ,0 ,411
Change :,"","","","","",""
City / Town Total : ,10737 ,3148 ,96 ,12425 ,0 ,26406
EAST GREENWICH,"","","","","",""
Active : ,2486 ,2192 ,33 ,5708 ,0 ,10419
Inactive : ,182 ,170 ,6 ,418 ,0 ,776
Active with NCOA ,40 ,13 ,0 ,56 ,0 ,109
Change :,"","","","","",""
City / Town Total : ,2708 ,2375 ,39 ,6182 ,0 ,11304
EAST PROVIDENCE,"","","","","",""
Active : ,15003 ,2726 ,97 ,13223 ,0 ,31049
Inactive : ,942 ,191 ,7 ,1100 ,0 ,2240
Active with NCOA ,446 ,47 ,1 ,394 ,0 ,888
Change :,"","","","","",""
City / Town Total : ,16391 ,2964 ,105 ,14717 ,0 ,34177
City / Town ,D ,R ,M ,U ,- ,Total
EXETER,"","","","","",""
Active : ,1200 ,981 ,12 ,2763 ,0 ,4956
Inactive : ,70 ,43 ,0 ,179 ,0 ,292
Active with NCOA ,10 ,5 ,0 ,21 ,0 ,36
Change :,"","","","","",""
City / Town Total : ,1280 ,1029 ,12 ,2963 ,0 ,5284
FOSTER,"","","","","",""
Active : ,853 ,777 ,6 ,2189 ,0 ,3825
Inactive : ,69 ,37 ,1 ,173 ,0 ,280
Active with NCOA ,3 ,2 ,0 ,1 ,0 ,6
Change :,"","","","","",""
City / Town Total : ,925 ,816 ,7 ,2363 ,0 ,4111
GLOCESTER,"","","","","",""
Active : ,1853 ,1255 ,12 ,4499 ,0 ,7619
Inactive : ,105 ,66 ,1 ,422 ,0 ,594
Active with NCOA ,21 ,21 ,0 ,50 ,0 ,92
Change :,"","","","","",""
City / Town Total : ,1979 ,1342 ,13 ,4971 ,0 ,8305
HOPKINTON,"","","","","",""
Active : ,1635 ,1122 ,23 ,3228 ,0 ,6008
Inactive : ,56 ,38 ,2 ,138 ,0 ,234
Active with NCOA ,8 ,9 ,0 ,30 ,0 ,47
Change :,"","","","","",""
City / Town Total : ,1699 ,1169 ,25 ,3396 ,0 ,6289
JAMESTOWN,"","","","","",""
Active : ,1648 ,674 ,16 ,2258 ,0 ,4596
Inactive : ,53 ,27 ,0 ,126 ,0 ,206
Active with NCOA ,32 ,14 ,0 ,40 ,0 ,86
Change :,"","","","","",""
City / Town Total : ,1733 ,715 ,16 ,2424 ,0 ,4888
City / Town ,D ,R ,M ,U ,- ,Total
JOHNSTON,"","","","","",""
Active : ,10655 ,2196 ,65 ,7871 ,0 ,20787
Inactive : ,825 ,153 ,7 ,825 ,0 ,1810
Active with NCOA ,321 ,50 ,1 ,178 ,0 ,550
Change :,"","","","","",""
City / Town Total : ,11801 ,2399 ,73 ,8874 ,0 ,23147
LINCOLN,"","","","","",""
Active : ,5370 ,2340 ,69 ,9253 ,0 ,17032
Inactive : ,127 ,81 ,4 ,327 ,0 ,539
Active with NCOA ,69 ,26 ,0 ,98 ,0 ,193
Change :,"","","","","",""
City / Town Total : ,5566 ,2447 ,73 ,9678 ,0 ,17764
LITTLE COMPTON,"","","","","",""
Active : ,817 ,635 ,14 ,1551 ,0 ,3017
Inactive : ,26 ,21 ,0 ,71 ,0 ,118
Active with NCOA ,13 ,5 ,0 ,24 ,0 ,42
Change :,"","","","","",""
City / Town Total : ,856 ,661 ,14 ,1646 ,0 ,3177
MIDDLETOWN,"","","","","",""
Active : ,3434 ,1637 ,45 ,5214 ,0 ,10330
Inactive : ,205 ,128 ,1 ,371 ,0 ,705
Active with NCOA ,115 ,33 ,1 ,168 ,0 ,317
Change :,"","","","","",""
City / Town Total : ,3754 ,1798 ,47 ,5753 ,0 ,11352
NARRAGANSETT,"","","","","",""
Active : ,3773 ,1491 ,25 ,6110 ,0 ,11399
Inactive : ,213 ,77 ,3 ,430 ,0 ,723
Active with NCOA ,113 ,33 ,0 ,116 ,0 ,262
Change :,"","","","","",""
City / Town Total : ,4099 ,1601 ,28 ,6656 ,0 ,12384
City / Town D ,"",R ,M ,U ,- ,Total
NEWPORT,"","","","","",""
Active : 5690 ,"",1944 ,64 ,5784 ,0 ,13482
Inactive : 348 ,"",153 ,2 ,488 ,0 ,991
Active with NCOA 101 ,"",22 ,0 ,106 ,0 ,229
Change :,"","","","","",""
City / Town Total : 6139 ,"",2119 ,66 ,6378 ,0 ,14702
NEW SHOREHAM,"","","","","",""
Active : 541 ,"",238 ,2 ,578 ,0 ,1359
Inactive : 18 ,"",11 ,0 ,25 ,0 ,54
Active with NCOA 0 ,"",0 ,0 ,1 ,0 ,1
Change :,"","","","","",""
City / Town Total : 559 ,"",249 ,2 ,604 ,0 ,1414
NORTH KINGSTOWN,"","","","","",""
Active : 5770 ,"",3539 ,74 ,11764 ,0 ,21147
Inactive : 285 ,"",169 ,5 ,621 ,0 ,1080
Active with NCOA 144 ,"",57 ,2 ,245 ,0 ,448
Change :,"","","","","",""
City / Town Total : 6199 ,"",3765 ,81 ,12630 ,0 ,22675
NORTH PROVIDENCE,"","","","","",""
Active : 14448 ,"",1680 ,81 ,6968 ,0 ,23177
Inactive : 743 ,"",120 ,6 ,755 ,0 ,1624
Active with NCOA 329 ,"",34 ,3 ,197 ,0 ,563
Change :,"","","","","",""
City / Town Total : 15520 ,"",1834 ,90 ,7920 ,0 ,25364
NORTH SMITHFIELD,"","","","","",""
Active : 2668 ,"",1512 ,27 ,5473 ,0 ,9680
Inactive : 154 ,"",75 ,5 ,340 ,0 ,574
Active with NCOA 27 ,"",14 ,0 ,61 ,0 ,102
Change :,"","","","","",""
City / Town Total : 2849 ,"",1601 ,32 ,5874 ,0 ,10356
City / Town ,D ,R ,M ,U ,- ,Total
PAWTUCKET,"","","","","",""
Active : ,22002 ,2516 ,126 ,13754 ,0 ,38398
Inactive : ,1667 ,235 ,8 ,1755 ,0 ,3665
Active with NCOA ,499 ,57 ,2 ,328 ,0 ,886
Change :,"","","","","",""
City / Town Total : ,24168 ,2808 ,136 ,15837 ,0 ,42949
PORTSMOUTH,"","","","","",""
Active : ,3945 ,2602 ,43 ,6669 ,0 ,13259
Inactive : ,212 ,116 ,5 ,364 ,0 ,697
Active with NCOA ,64 ,31 ,1 ,119 ,0 ,215
Change :,"","","","","",""
City / Town Total : ,4221 ,2749 ,49 ,7152 ,0 ,14171
PROVIDENCE,"","","","","",""
Active : ,64074 ,5524 ,395 ,37461 ,0 ,107454
Inactive : ,5167 ,503 ,53 ,4602 ,0 ,10325
Active with NCOA ,2799 ,163 ,9 ,1375 ,0 ,4346
Change :,"","","","","",""
City / Town Total : ,72040 ,6190 ,457 ,43438 ,0 ,122125
RICHMOND,"","","","","",""
Active : ,1566 ,1107 ,14 ,3230 ,0 ,5917
Inactive : ,76 ,49 ,0 ,206 ,0 ,331
Active with NCOA ,8 ,6 ,0 ,9 ,0 ,23
Change :,"","","","","",""
City / Town Total : ,1650 ,1162 ,14 ,3445 ,0 ,6271
SCITUATE,"","","","","",""
Active : ,1674 ,1708 ,16 ,4860 ,0 ,8258
Inactive : ,69 ,53 ,0 ,260 ,0 ,382
Active with NCOA ,6 ,4 ,0 ,10 ,0 ,20
Change :,"","","","","",""
City / Town Total : ,1749 ,1765 ,16 ,5130 ,0 ,8660
City / Town ,D ,R ,M ,U ,- ,Total
SMITHFIELD,"","","","","",""
Active : ,4432 ,1842 ,39 ,8253 ,0 ,14566
Inactive : ,356 ,192 ,1 ,868 ,0 ,1417
Active with NCOA ,19 ,8 ,0 ,34 ,0 ,61
Change :,"","","","","",""
City / Town Total : ,4807 ,2042 ,40 ,9155 ,0 ,16044
SOUTH KINGSTOWN,"","","","","",""
Active : ,7722 ,2652 ,48 ,10030 ,0 ,20452
Inactive : ,351 ,159 ,4 ,635 ,0 ,1149
Active with NCOA ,131 ,50 ,0 ,209 ,0 ,390
Change :,"","","","","",""
City / Town Total : ,8204 ,2861 ,52 ,10874 ,0 ,21991
TIVERTON,"","","","","",""
Active : ,4034 ,1842 ,38 ,5833 ,0 ,11747
Inactive : ,320 ,120 ,3 ,533 ,0 ,976
Active with NCOA ,112 ,38 ,1 ,141 ,0 ,292
Change :,"","","","","",""
City / Town Total : ,4466 ,2000 ,42 ,6507 ,0 ,13015
WARREN,"","","","","",""
Active : ,2889 ,789 ,33 ,3597 ,0 ,7308
Inactive : ,138 ,47 ,3 ,255 ,0 ,443
Active with NCOA ,76 ,13 ,0 ,84 ,0 ,173
Change :,"","","","","",""
City / Town Total : ,3103 ,849 ,36 ,3936 ,0 ,7924
WARWICK,"","","","","",""
Active : ,20124 ,7705 ,176 ,30703 ,0 ,58708
Inactive : ,1254 ,467 ,17 ,2341 ,0 ,4079
Active with NCOA ,265 ,91 ,0 ,379 ,0 ,735
Change :,"","","","","",""
City / Town Total : ,21643 ,8263 ,193 ,33423 ,0 ,63522
City / Town ,D ,R ,M ,U ,- ,Total
WESTERLY,"","","","","",""
Active : ,4987 ,2712 ,70 ,8420 ,0 ,16189
Inactive : ,303 ,163 ,3 ,677 ,0 ,1146
Active with NCOA ,201 ,99 ,1 ,351 ,0 ,652
Change :,"","","","","",""
City / Town Total : ,5491 ,2974 ,74 ,9448 ,0 ,17987
WEST GREENWICH,"","","","","",""
Active : ,971 ,998 ,14 ,2729 ,0 ,4712
Inactive : ,66 ,49 ,1 ,210 ,0 ,326
Active with NCOA ,2 ,2 ,0 ,9 ,0 ,13
Change :,"","","","","",""
City / Town Total : ,1039 ,1049 ,15 ,2948 ,0 ,5051
WEST WARWICK,"","","","","",""
Active : ,6021 ,2154 ,88 ,8736 ,0 ,16999
Inactive : ,601 ,193 ,18 ,1082 ,0 ,1894
Active with NCOA ,126 ,45 ,3 ,186 ,0 ,360
Change :,"","","","","",""
City / Town Total : ,6748 ,2392 ,109 ,10004 ,0 ,19253
WOONSOCKET,"","","","","",""
Active : ,9980 ,2496 ,127 ,11114 ,0 ,23717
Inactive : ,953 ,254 ,15 ,1531 ,0 ,2753
Active with NCOA ,366 ,83 ,3 ,420 ,0 ,872
Change :,"","","","","",""
City / Town Total : ,11299 ,2833 ,145 ,13065 ,0 ,27342
Inactive: ,20001 ,5418 ,229 ,28553 ,0 ,54201
Active with NCOA ,7855 ,1527 ,41 ,7180 ,0 ,16603
Change :,"","","","","",""
Total: ,314554 ,90970 ,2636 ,362715 ,0 ,770875
