"Report Date/Time: 05/01/2015 01:31 PM","","","","","STATE OF ARIZONA REGISTRATION REPORT","","","","","","Page Number 1"
"","","","","","2015 April Voter Registration - April 1, 2015","","","","","",""
"","","","","","Compiled and Issued by the Arizona Secretary of State","","","","","",""
"","","","","","ACTIVE","","","","","",""
"","","Precincts","Date/Period","Americans ","","Democratic","Green","Libertarian","Republican","Other","TOTAL"
"","Apache","45","G.E. 2014","4","","26,351","*","148","7,267","12,411","46,181"
"","","45","JAN 2015","5","","26,744","33","143","7,350","12,418","46,693"
"","","45","APR 2015","5","","26,681","34","142","7,400","12,626","46,888"
"","Cochise","49","G.E. 2014","11","","18,784","*","431","25,463","23,923","68,612"
"","","49","JAN 2015","14","","18,844","112","441","25,743","24,344","69,498"
"","","49","APR 2015","14","","18,632","110","445","25,582","24,435","69,218"
"","Coconino","71","G.E. 2014","5","","26,055","*","776","17,863","26,020","70,719"
"","","71","JAN 2015","5","","26,267","235","790","17,893","25,824","71,014"
"","","71","APR 2015","4","","25,892","226","782","17,693","25,388","69,985"
"","Gila","39","G.E. 2014","2","","9,717","*","160","11,110","8,483","29,472"
"","","39","JAN 2015","2","","9,779","23","165","11,311","8,677","29,957"
"","","39","APR 2015","2","","9,361","22","162","10,753","8,198","28,498"
"","Graham","22","G.E. 2014","2","","5,727","*","58","7,454","4,300","17,541"
"","","22","JAN 2015","2","","5,699","8","59","7,422","4,324","17,514"
"","","22","APR 2015","2","","5,676","8","60","7,473","4,462","17,681"
"","Greenlee","8","G.E. 2014","0","","2,115","*","22","1,094","1,151","4,382"
"","","8","JAN 2015","0","","2,102","3","23","1,100","1,151","4,379"
"","","8","APR 2015","0","","2,102","3","25","1,108","1,201","4,439"
"","La Paz","11","G.E. 2014","1","","2,228","*","39","3,289","3,504","9,061"
"","","11","JAN 2015","1","","2,203","14","41","3,279","3,512","9,050"
"","","11","APR 2015","1","","2,164","11","37","3,230","3,462","8,905"
"","Maricopa","724","G.E. 2014","298","","515,376","*","17,205","694,850","708,000","1,935,729"
"","","724","JAN 2015","311","","510,481","2,366","17,171","690,900","712,319","1,933,548"
"","","724","APR 2015","322","","512,024","2,212","17,432","693,749","726,558","1,952,297"
"","Mohave","73","G.E. 2014","14","","23,072","*","664","46,633","47,214","117,597"
"","","73","JAN 2015","16","","22,707","108","669","46,422","47,857","117,779"
"","","73","APR 2015","17","","22,109","106","676","45,963","47,558","116,429"
"","Navajo","61","G.E. 2014","8","","22,979","*","366","17,523","15,849","56,725"
"","","61","JAN 2015","8","","23,008","44","369","17,506","15,955","56,890"
"","","61","APR 2015","6","","23,078","45","363","17,647","16,412","57,551"
"","Pima","248","G.E. 2014","57","","179,046","*","4,026","151,097","164,431","498,657"
"","","248","JAN 2015","65","","181,113","1,656","4,103","153,220","166,075","506,232"
"","","248","APR 2015","60","","172,777","1,536","3,854","146,481","159,242","483,950"
"","Pinal","102","G.E. 2014","15","","43,310","*","1,114","51,801","62,100","158,340"
"","","102","JAN 2015","14","","43,186","150","1,129","52,021","63,137","159,637"
"","","102","APR 2015","10","","42,765","153","1,127","51,791","63,928","159,774"
"","Santa Cruz","24","G.E. 2014","0","","11,385","*","124","3,661","7,499","22,669"
"","","24","JAN 2015","0","","11,432","29","123","3,686","7,612","22,882"
"","","24","APR 2015","0","","11,475","32","124","3,705","7,821","23,157"
"","Yavapai","45","G.E. 2014","10","","24,676","*","944","53,512","44,159","123,301"
"","","45","JAN 2015","10","","24,678","238","960","53,901","44,452","124,239"
"","","45","APR 2015","9","","24,308","230","949","53,410","44,751","123,657"
"","Yuma","44","G.E. 2014","6","","25,596","*","512","22,096","28,767","76,977"
"","","44","JAN 2015","8","","25,640","32","520","22,237","29,426","77,863"
"","","44","APR 2015","7","","24,239","29","473","20,868","27,645","73,261"
"","TOTALS:","1,566","G.E. 2014","433","","936,417","*","26,589","1,114,713","1,157,811","3,235,963"
"","","1,566","JAN 2015","461","","933,883","5,051","26,706","1,113,991","1,167,083","3,247,175"
"","","1,566","APR 2015","459","","923,283","4,757","26,651","1,106,853","1,173,687","3,235,690"
"","PERCENTAGES:","","G.E. 2014","0.01","","28.94","*","0.82","34.45","35.78",""
"","","","JAN 2015","0.01","","28.76","0.16","0.82","34.31","35.94",""
"","","","APR 2015","0.01","","28.53","0.15","0.82","34.21","36.27",""
"","* - Party was not a recognized party during this cycle","","","","","","","","","",""
"Report Date/Time: 05/01/2015 01:31 PM","","","","","","STATE OF ARIZONA REGISTRATION REPORT","","","","","","Page Number 2"
"","","","","","","2015 April Voter Registration - April 1, 2015","","","","","",""
"","","","","","","Compiled and Issued by the Arizona Secretary of State","","","","","",""
"","","","","","","ACTIVE","","","","","",""
"","Congressional","","","Precincts","Americans ","","Democratic","Green","Libertarian","Republican","Other","TOTAL"
"","","Congressional District 1","","","","","","","","","",""
"","","","Apache","45","5","","26,681","34","142","7,400","12,626","46,888"
"","","","Coconino","71","4","","25,892","226","782","17,693","25,388","69,985"
"","","","Gila","22","1","","6,383","8","51","2,546","3,612","12,601"
"","","","Graham","22","2","","5,676","8","60","7,473","4,462","17,681"
"","","","Greenlee","8","0","","2,102","3","25","1,108","1,201","4,439"
"","","","Maricopa","3","0","","439","1","9","58","423","930"
"","","","Mohave","2","0","","289","0","1","121","328","739"
"","","","Navajo","61","6","","23,078","45","363","17,647","16,412","57,551"
"","","","Pima","26","3","","14,541","76","352","24,220","18,346","57,538"
"","","","Pinal","60","3","","27,224","82","563","25,639","32,859","86,370"
"","","","Yavapai","7","1","","4,337","42","148","6,001","7,195","17,724"
"","","","TOTALS","327","25","","136,642","525","2,496","109,906","122,852","372,446"
"","","Congressional District 2","","","","","","","","","",""
"","","","Cochise","49","14","","18,632","110","445","25,582","24,435","69,218"
"","","","Pima","145","38","","102,039","959","2,476","99,704","98,649","303,865"
"","","","TOTALS","194","52","","120,671","1,069","2,921","125,286","123,084","373,083"
"","","Congressional District 3","","","","","","","","","",""
"","","","Maricopa","46","11","","30,154","68","795","23,487","39,025","93,540"
"","","","Pima","77","19","","56,197","501","1,026","22,557","42,247","122,547"
"","","","Pinal","1","0","","131","0","0","11","55","197"
"","","","Santa Cruz","24","0","","11,475","32","124","3,705","7,821","23,157"
"","","","Yuma","29","3","","18,157","18","281","9,594","17,478","45,531"
"","","","TOTALS","177","33","","116,114","619","2,226","59,354","106,626","284,972"
"","","Congressional District 4","","","","","","","","","",""
"","","","Gila","17","1","","2,978","14","111","8,207","4,586","15,897"
"","","","La Paz","11","1","","2,164","11","37","3,230","3,462","8,905"
"","","","Maricopa","18","6","","4,151","13","170","9,876","8,064","22,280"
"","","","Mohave","71","17","","21,820","106","675","45,842","47,230","115,690"
"","","","Pinal","41","7","","15,410","71","564","26,141","31,014","73,207"
"","","","Yavapai","38","8","","19,971","188","801","47,409","37,556","105,933"
"","","","Yuma","15","4","","6,082","11","192","11,274","10,167","27,730"
"","","","TOTALS","211","44","","72,576","414","2,550","151,979","142,079","369,642"
"","","Congressional District 5","","","","","","","","","",""
"","","","Maricopa","113","74","","81,479","352","3,301","176,976","146,880","409,062"
"","","","TOTALS","113","74","","81,479","352","3,301","176,976","146,880","409,062"
"","","Congressional District 6","","","","","","","","","",""
"","","","Maricopa","156","66","","94,045","449","3,580","167,480","151,183","416,803"
"","","","TOTALS","156","66","","94,045","449","3,580","167,480","151,183","416,803"
"","","Congressional District 7","","","","","","","","","",""
"","","","Maricopa","105","36","","101,659","316","2,601","38,558","98,866","242,036"
"","","","TOTALS","105","36","","101,659","316","2,601","38,558","98,866","242,036"
"","","Congressional District 8","","","","","","","","","",""
"","","","Maricopa","142","62","","92,944","318","2,911","160,182","143,893","400,310"
"","","","TOTALS","142","62","","92,944","318","2,911","160,182","143,893","400,310"
"","","Congressional District 9","","","","","","","","","",""
"","","","Maricopa","141","67","","107,153","695","4,065","117,132","138,224","367,336"
"","","","TOTALS","141","67","","107,153","695","4,065","117,132","138,224","367,336"
"","","","STATE TOTALS","1,566","459","","923,283","4,757","26,651","1,106,853","1,173,687","3,235,690"
"Report Date/Time: 05/01/2015 01:31 PM","","","","","","STATE OF ARIZONA REGISTRATION REPORT","","","","","","Page Number 3"
"","","","","","","2015 April Voter Registration - April 1, 2015","","","","","",""
"","","","","","","Compiled and Issued by the Arizona Secretary of State","","","","","",""
"","","","","","","ACTIVE","","","","","",""
"","Legislative","","","Precincts","Americans ","","Democratic","Green","Libertarian","Republican","Other","TOTAL"
"","","Legislative District 1","","","","","","","","","",""
"","","","Maricopa","14","6","","6,760","36","320","18,669","14,570","40,361"
"","","","Yavapai","35","6","","15,963","160","703","41,215","30,799","88,846"
"","","","TOTALS","49","12","","22,723","196","1,023","59,884","45,369","129,207"
"","","Legislative District 2","","","","","","","","","",""
"","","","Pima","33","14","","23,084","92","438","17,168","23,158","63,954"
"","","","Santa Cruz","24","0","","11,475","32","124","3,705","7,821","23,157"
"","","","TOTALS","57","14","","34,559","124","562","20,873","30,979","87,111"
"","","Legislative District 3","","","","","","","","","",""
"","","","Pima","41","14","","38,749","496","732","14,460","27,919","82,370"
"","","","TOTALS","41","14","","38,749","496","732","14,460","27,919","82,370"
"","","Legislative District 4","","","","","","","","","",""
"","","","Maricopa","18","5","","6,871","32","203","8,308","10,216","25,635"
"","","","Pima","17","2","","6,590","32","82","2,130","4,589","13,425"
"","","","Pinal","1","0","","131","0","0","11","55","197"
"","","","Yuma","23","3","","16,207","12","230","7,349","14,987","38,788"
"","","","TOTALS","59","10","","29,799","76","515","17,798","29,847","78,045"
"","","Legislative District 5","","","","","","","","","",""
"","","","La Paz","11","1","","2,164","11","37","3,230","3,462","8,905"
"","","","Mohave","71","17","","21,820","106","675","45,842","47,230","115,690"
"","","","TOTALS","82","18","","23,984","117","712","49,072","50,692","124,595"
"","","Legislative District 6","","","","","","","","","",""
"","","","Coconino","45","4","","15,135","204","579","13,596","18,584","48,102"
"","","","Gila","18","1","","3,024","14","111","8,298","4,639","16,087"
"","","","Navajo","16","1","","2,913","9","83","7,683","3,687","14,376"
"","","","Yavapai","10","3","","8,345","70","246","12,195","13,952","34,811"
"","","","TOTALS","89","9","","29,417","297","1,019","41,772","40,862","113,376"
"","","Legislative District 7","","","","","","","","","",""
"","","","Apache","45","5","","26,681","34","142","7,400","12,626","46,888"
"","","","Coconino","26","0","","10,757","22","203","4,097","6,804","21,883"
"","","","Gila","3","0","","2,117","0","9","207","1,112","3,445"
"","","","Graham","2","0","","1,452","0","3","200","686","2,341"
"","","","Mohave","2","0","","289","0","1","121","328","739"
"","","","Navajo","45","5","","20,165","36","280","9,964","12,725","43,175"
"","","","Pinal","1","0","","0","0","0","0","0","0"
"","","","TOTALS","124","10","","61,461","92","638","21,989","34,281","118,471"
"","","Legislative District 8","","","","","","","","","",""
"","","","Gila","18","1","","4,220","8","42","2,248","2,447","8,966"
"","","","Pinal","51","3","","22,768","74","454","20,908","27,773","71,980"
"","","","TOTALS","69","4","","26,988","82","496","23,156","30,220","80,946"
"","","Legislative District 9","","","","","","","","","",""
"","","","Pima","57","9","","39,996","428","978","35,485","35,672","112,568"
"","","","TOTALS","57","9","","39,996","428","978","35,485","35,672","112,568"
"","","Legislative District 10","","","","","","","","","",""
"","","","Pima","49","11","","39,937","348","913","36,563","35,964","113,736"
"","","","TOTALS","49","11","","39,937","348","913","36,563","35,964","113,736"
"","","Legislative District 11","","","","","","","","","",""
"","","","Pima","34","5","","18,348","104","478","29,367","22,784","71,086"
"","","","Pinal","27","3","","11,302","40","384","15,372","18,500","45,601"
"","","","TOTALS","61","8","","29,650","144","862","44,739","41,284","116,687"
"","","Legislative District 12","","","","","","","","","",""
"","","","Maricopa","34","16","","23,876","109","1,114","59,958","45,674","130,747"
"","","","Pinal","1","0","","222","0","10","551","491","1,274"
"","","","TOTALS","35","16","","24,098","109","1,124","60,509","46,165","132,021"
"Report Date/Time: 05/01/2015 01:31 PM","","","","","","STATE OF ARIZONA REGISTRATION REPORT","","","","","","Page Number 4"
"","","","","","","2015 April Voter Registration - April 1, 2015","","","","","",""
"","","","","","","Compiled and Issued by the Arizona Secretary of State","","","","","",""
"","","","","","","ACTIVE","","","","","",""
"","Legislative","","","Precincts","Americans ","","Democratic","Green","Libertarian","Republican","Other","TOTAL"
"","","Legislative District 13","","","","","","","","","",""
"","","","Maricopa","29","10","","14,774","49","531","26,744","25,100","67,208"
"","","","Yavapai","0","0","","0","0","0","0","0","0"
"","","","Yuma","21","4","","8,032","17","243","13,519","12,658","34,473"
"","","","TOTALS","50","14","","22,806","66","774","40,263","37,758","101,681"
"","","Legislative District 14","","","","","","","","","",""
"","","","Cochise","49","14","","18,632","110","445","25,582","24,435","69,218"
"","","","Graham","20","2","","4,224","8","57","7,273","3,776","15,340"
"","","","Greenlee","8","0","","2,102","3","25","1,108","1,201","4,439"
"","","","Pima","17","5","","6,073","36","233","11,308","9,156","26,811"
"","","","TOTALS","94","21","","31,031","157","760","45,271","38,568","115,808"
"","","Legislative District 15","","","","","","","","","",""
"","","","Maricopa","42","23","","27,216","115","1,131","53,738","45,885","128,108"
"","","","TOTALS","42","23","","27,216","115","1,131","53,738","45,885","128,108"
"","","Legislative District 16","","","","","","","","","",""
"","","","Maricopa","19","17","","14,703","70","545","28,152","28,381","71,868"
"","","","Pinal","21","4","","8,342","39","279","14,949","17,109","40,722"
"","","","TOTALS","40","21","","23,045","109","824","43,101","45,490","112,590"
"","","Legislative District 17","","","","","","","","","",""
"","","","Maricopa","39","28","","29,532","103","1,033","46,894","47,602","125,192"
"","","","TOTALS","39","28","","29,532","103","1,033","46,894","47,602","125,192"
"","","Legislative District 18","","","","","","","","","",""
"","","","Maricopa","42","17","","37,153","205","1,309","47,828","48,442","134,954"
"","","","TOTALS","42","17","","37,153","205","1,309","47,828","48,442","134,954"
"","","Legislative District 19","","","","","","","","","",""
"","","","Maricopa","28","6","","28,958","51","713","13,134","32,615","75,477"
"","","","TOTALS","28","6","","28,958","51","713","13,134","32,615","75,477"
"","","Legislative District 20","","","","","","","","","",""
"","","","Maricopa","47","22","","29,918","172","1,143","40,719","41,522","113,496"
"","","","TOTALS","47","22","","29,918","172","1,143","40,719","41,522","113,496"
"","","Legislative District 21","","","","","","","","","",""
"","","","Maricopa","42","23","","30,326","81","794","41,753","42,614","115,591"
"","","","TOTALS","42","23","","30,326","81","794","41,753","42,614","115,591"
"","","Legislative District 22","","","","","","","","","",""
"","","","Maricopa","48","13","","27,692","74","782","58,764","46,952","134,277"
"","","","TOTALS","48","13","","27,692","74","782","58,764","46,952","134,277"
"","","Legislative District 23","","","","","","","","","",""
"","","","Maricopa","57","15","","29,376","112","1,010","65,446","53,079","149,038"
"","","","TOTALS","57","15","","29,376","112","1,010","65,446","53,079","149,038"
"","","Legislative District 24","","","","","","","","","",""
"","","","Maricopa","40","22","","33,745","232","1,085","20,782","35,002","90,868"
"","","","TOTALS","40","22","","33,745","232","1,085","20,782","35,002","90,868"
"","","Legislative District 25","","","","","","","","","",""
"","","","Maricopa","37","22","","24,361","145","1,063","54,887","41,916","122,394"
"","","","TOTALS","37","22","","24,361","145","1,063","54,887","41,916","122,394"
"","","Legislative District 26","","","","","","","","","",""
"","","","Maricopa","34","20","","26,224","235","1,186","20,678","37,376","85,719"
"","","","TOTALS","34","20","","26,224","235","1,186","20,678","37,376","85,719"
"","","Legislative District 27","","","","","","","","","",""
"","","","Maricopa","35","14","","36,126","91","662","10,695","32,476","80,064"
"","","","TOTALS","35","14","","36,126","91","662","10,695","32,476","80,064"
"","","Legislative District 28","","","","","","","","","",""
"","","","Maricopa","57","21","","33,662","176","1,198","47,996","40,850","123,903"
"","","","TOTALS","57","21","","33,662","176","1,198","47,996","40,850","123,903"
"Report Date/Time: 05/01/2015 01:31 PM","","","","","","STATE OF ARIZONA REGISTRATION REPORT","","","","","","Page Number 5"
"","","","","","","2015 April Voter Registration - April 1, 2015","","","","","",""
"","","","","","","Compiled and Issued by the Arizona Secretary of State","","","","","",""
"","","","","","","ACTIVE","","","","","",""
"","Legislative","","","Precincts","Americans ","","Democratic","Green","Libertarian","Republican","Other","TOTAL"
